site_id,client_id,site_name,address,active,created_at,contact_name,contact_phone,contact_email
CBM_001,CBM,CBM Pte Ltd,"501 Old Choa Chu Kang Road, Home Team Academy",t,2026-07-24 15:15:51.944859+00,Rizab,8019 5329,
CHA_001,CHA,Chateraise,8 Jalan Besut L3,t,2026-07-24 15:15:51.944859+00,,,
CHI_001,CHI,Chiong Construction,10 Serangoon Ave 4,t,2026-07-24 15:15:51.944859+00,,,
CHI_002,CHI,Chiong Construction,13 Serangoon Ave 3,t,2026-07-24 15:15:51.944859+00,,,
CHI_003,CHI,Chiong Construction,60 Blk A Jurong West Street 42,t,2026-07-24 15:15:51.944859+00,,,
CHU_001,CHU,Chuan Seng Leong,21 Benoi Sector #03-03,t,2026-07-24 15:15:51.944859+00,,,
CLE_001,CLE,Cleanis-Tee,8 Jalan Papan,t,2026-07-24 15:15:51.944859+00,,,
CNC_001,CNC,CNCCS Engineering and Construction Pte Ltd,"15 Tembusu Crescent, #08-01, COGENT.",t,2026-07-24 15:15:51.944859+00,,,
CPH_001,CPH,C & P Holdings Pte Ltd,46 Penjuru Lane,t,2026-07-24 15:15:51.944859+00,,,
CRE_001,CRE,CrestSA Marine & Offshore Pte Ltd,15 Pandan Road,t,2026-07-24 15:15:51.944859+00,,,
DSV_001,DSV,DSV,"24 Penjuru Road, #09-05/06 (Loading Bay 2)",t,2026-07-24 15:15:51.944859+00,,,
DYN_001,DYN,Dyna Cool,"2 Bukit Batok Street 24, #03-19 Skytech",t,2026-07-24 15:15:51.944859+00,,,
ENG_001,ENG,Eng Lee Logistics Pte Ltd,9 Gul Circle,t,2026-07-24 15:15:51.944859+00,,,
ENGI_001,ENGI,Engie Services Singapore Pte Ltd,1 Canning Rise Singapore 179868,t,2026-07-24 15:15:51.944859+00,,,
ENGI_002,ENGI,Engie Services Singapore Pte Ltd,1 Empress Place,t,2026-07-24 15:15:51.944859+00,,,
ENGI_003,ENGI,Engie Services Singapore Pte Ltd,"1 Jurong East st 21, Ng Teng Fong Hospital",t,2026-07-24 15:15:51.944859+00,,,
ENGI_004,ENGI,Engie Services Singapore Pte Ltd,"100 Victoria Street, Basement 2, Loading Bay",t,2026-07-24 15:15:51.944859+00,,,
ENGI_005,ENGI,Engie Services Singapore Pte Ltd,"17 Woodlands Drive 17, Woodlands Health Campus",t,2026-07-24 15:15:51.944859+00,,,
ENGI_006,ENGI,Engie Services Singapore Pte Ltd,"2 Simei Street 3, Changi General Hospital",t,2026-07-24 15:15:51.944859+00,,,
ENGI_007,ENGI,Engie Services Singapore Pte Ltd,20 Airport Boulevard Changi Airport,t,2026-07-24 15:15:51.944859+00,,,
ENGI_008,ENGI,Engie Services Singapore Pte Ltd,"28 Irrawaddy Road, New Phoenix Park. (Ministry of Home Affairs)",t,2026-07-24 15:15:51.944859+00,,,
ENGI_009,ENGI,Engie Services Singapore Pte Ltd,"32 Jurong Port Road, Heritage Center",t,2026-07-24 15:15:51.944859+00,Sunder,8267 7685,
ENGI_010,ENGI,Engie Services Singapore Pte Ltd,4A Tuas Bay Street,t,2026-07-24 15:15:51.944859+00,,,
ENGI_011,ENGI,Engie Services Singapore Pte Ltd,"65 Airport Boulevard, #B2-63, Changi Airport T3",t,2026-07-24 15:15:51.944859+00,,,
ENGI_012,ENGI,Engie Services Singapore Pte Ltd,9 Kallang Place,t,2026-07-24 15:15:51.944859+00,,,
ENGI_013,ENGI,Engie Services Singapore Pte Ltd,"93 Stamford Road, National Museum of Singapore",t,2026-07-24 15:15:51.944859+00,,,
ENGI_014,ENGI,Engie Services Singapore Pte Ltd,Changi Airport T2 Basement,t,2026-07-24 15:15:51.944859+00,,,
ENGI_015,ENGI,Engie Services Singapore Pte Ltd,2 Tuas Bay Street,t,2026-07-24 15:15:51.944859+00,,,
ENGI_017,ENGI,Engie Services Singapore Pte Ltd,1 Media Link,t,2026-07-24 15:15:51.944859+00,,,
ENGI_018,ENGI,Engie Services Singapore Pte Ltd,30 Changi North Cresent,t,2026-07-24 15:15:51.944859+00,,,
ENGL_001,ENGL,Eng Leng Contractors Pte Ltd,1 CleanTech Loop,t,2026-07-24 15:15:51.944859+00,,,
ENGL_002,ENGL,Eng Leng Contractors Pte Ltd,"1 Gul Circle, JTC Logistics Hub",t,2026-07-24 15:15:51.944859+00,,,
ENGL_003,ENGL,Eng Leng Contractors Pte Ltd,"16 Tuas Ave 1, JTC Space @ Tuas",t,2026-07-24 15:15:51.944859+00,,,
ENGL_004,ENGL,Eng Leng Contractors Pte Ltd,2 Tukang Innovation Grove,t,2026-07-24 15:15:51.944859+00,,,
ENGL_005,ENGL,Eng Leng Contractors Pte Ltd,28A Penjuru Close Bin Centre,t,2026-07-24 15:15:51.944859+00,,,
ENGL_006,ENGL,Eng Leng Contractors Pte Ltd,8 Buroh Street,t,2026-07-24 15:15:51.944859+00,Ezwan,98644193,
ENGL_007,ENGL,Eng Leng Contractors Pte Ltd,"8 Jurong Town Hall Rd, JTC Summit Building",t,2026-07-24 15:15:51.944859+00,,,
ENGL_008,ENGL,Eng Leng Contractors Pte Ltd,Jalan Papan LP 15,t,2026-07-24 15:15:51.944859+00,,,
ENGL_009,ENGL,Eng Leng Contractors Pte Ltd,"Pandan Loop, Blk K, (Phase 1), Bin Centre",t,2026-07-24 15:15:51.944859+00,,,
ENGL_010,ENGL,Eng Leng Contractors Pte Ltd,"Pandan Loop, Blk X, (Phase 3), Bin Centre",t,2026-07-24 15:15:51.944859+00,,,
ENGL_011,ENGL,Eng Leng Contractors Pte Ltd,15 Jalan Terusan,t,2026-07-24 15:15:51.944859+00,,,
EUR_002,EUR,Euro Pac Logistics Pte Ltd,52 Tanjong Penjuru #04-92,t,2026-07-24 15:15:51.944859+00,,,
EVE_001,EVE,EverTeam Pte Ltd,60 Benoi Road,t,2026-07-24 15:15:51.944859+00,,,
FAX_001,FAX,Faxolif Industries Pte Ltd,75 Tech Park Crescent,t,2026-07-24 15:15:51.944859+00,,,
GEO_001,GEO,Geoinnovations Pte Ltd,5 Kwong Ming Road,t,2026-07-24 15:15:51.944859+00,,,
EXP_001,EXP,123 Express,"60 Kaki Bukit Place, #06-14 Eunos Techpark",t,2026-07-24 15:15:51.944859+00,,,
HYU_002,HYU,"Hyundai Engineering & Construction Co., Ltd","31 Tuas West Drive, Lamppost 74F",t,2026-07-29 14:10:47.111952+00,Liton,88960490,
EPO_001,EPO,Epont Building Services Pte Ltd,"1 Tuas View Place, Westlink One, #02-01",t,2026-07-24 15:15:51.944859+00,,,
EUR_001,EUR,Euro Pac Logistics Pte Ltd,42 Tanjong Penjuru Road,t,2026-07-24 15:15:51.944859+00,,,
GLO_001,GLO,Glory SIP Pte Ltd,"50 Tuas Avenue 11, 02-05",t,2026-07-24 15:15:51.944859+00,,,
GSE_001,GSE,GS Engineering and Construction Corporation,Nicoll Highway LP 120F,t,2026-07-24 15:15:51.944859+00,,,
GSE_002,GSE,GS Engineering and Construction Corporation,Nicoll Highway LP 131F,t,2026-07-24 15:15:51.944859+00,,,
GSE_003,GSE,GS Engineering and Construction Corporation,"Nicoll Highway, LP 132F",t,2026-07-24 15:15:51.944859+00,,,
GSE_004,GSE,GS Engineering and Construction Corporation,Ophir Road LP 14/1F,t,2026-07-24 15:15:51.944859+00,,,
GSE_005,GSE,GS Engineering and Construction Corporation,"Ophir Road, LP 30F",t,2026-07-24 15:15:51.944859+00,,,
GSE_006,GSE,GS Engineering and Construction Corporation,Republic Boulevard LP 4F,t,2026-07-24 15:15:51.944859+00,,,
GSE_007,GSE,GS Engineering and Construction Corporation,"Victoria Street, LP 64F",t,2026-07-24 15:15:51.944859+00,,,
GYM_001,GYM,Gymsportz,"7, Block B Mandai Link, #05-27 Mandai Connection",t,2026-07-24 15:15:51.944859+00,,,
HAI_001,HAI,Haid Biotechnology Industry (Singapore) Pte Ltd,46 Gul Drive,t,2026-07-24 15:15:51.944859+00,Yvonne,89101994,
HCG_001,HCG,HCG,8 Tuas View Circuit,t,2026-07-24 15:15:51.944859+00,,,
HCG_002,HCG,HCG,79 Anson Road,t,2026-07-24 15:15:51.944859+00,,,
HEP_001,HEP,He Ping Development Pte Ltd,32 Tras Street,t,2026-07-24 15:15:51.944859+00,,,
HEP_002,HEP,He Ping Development Pte Ltd,"38 Beach Road, South Beach Tower",t,2026-07-24 15:15:51.944859+00,,,
HEP_003,HEP,He Ping Development Pte Ltd,51 Tanjong Pagar Road,t,2026-07-24 15:15:51.944859+00,,,
HON_001,HON,Hong Hang Hardware,35 Pioneer Road,t,2026-07-24 15:15:51.944859+00,,,
HOT_001,HOT,Hotel Royal Singapore,36 Newton Road,t,2026-07-24 15:15:51.944859+00,,,
HPR_001,HPR,H1 Projects Pte Ltd,107 Jalan Pari Burong,t,2026-07-24 15:15:51.944859+00,,,
HUA_001,HUA,Huationg Contractor,Tanah Merah Coast Road LP 509,t,2026-07-24 15:15:51.944859+00,,,
HUN_001,HUN,Huntsman (S) Pte Ltd,10 Seraya Ave,t,2026-07-24 15:15:51.944859+00,,,
HYD_001,HYD,Hydroproof,"The Aries, 51 Science Park",t,2026-07-24 15:15:51.944859+00,,,
HYU_001,HYU,"Hyundai Engineering & Construction Co., Ltd",100 Beach Road,t,2026-07-24 15:15:51.944859+00,,,
INV_001,INV,INVX Asia Pacific Pte Ltd,80 Tuas West Drive,t,2026-07-24 15:15:51.944859+00,,,
IWA_001,IWA,Iwatech,2 Kian Teck Drive,t,2026-07-24 15:15:51.944859+00,,,
LAU_001,LAU,Lau Choy Seng Pte Ltd,30 Tuas West Avenue,t,2026-07-24 15:15:51.944859+00,,,
LCH_001,LCH,LCH Logistics Pte Ltd,3 Pioneer Sector 3,t,2026-07-24 15:15:51.944859+00,,,
LEN_001,LEN,Leng Aik Engineering,17 Soon Lee Road,t,2026-07-24 15:15:51.944859+00,,,
LEX_001,LEX,LexBuild International Pte Ltd,"11 Tuas Bay Close, #04-01/02",t,2026-07-24 15:15:51.944859+00,,,
LIM_001,LIM,Lim Siang Huat Pte Ltd,6 Fishery Port Road L3,t,2026-07-24 15:15:51.944859+00,,,
MAT_001,MAT,Matrix Cooling (Singapore) Pte Ltd,"10 Buroh Street, #07-01, Westconnect Building",t,2026-07-24 15:15:51.944859+00,,,
MEC_001,MEC,Mecom GreenBuild (Singapore) Pte Ltd,23 Jurong Port Road,t,2026-07-24 15:15:51.944859+00,,,
NEA_001,NEA,NEA,NEA Tuas,t,2026-07-24 15:15:51.944859+00,,,
PAX_001,PAX,PaxOcean Singapore Pte Ltd,5 Jalan Samulun,t,2026-07-24 15:15:51.944859+00,Muthu,8455 3465,
PIL_001,PIL,Pacific International Lines,PSA berths - vessel operations,t,2026-07-24 15:15:51.944859+00,,,
POH_001,POH,Poh Tiong Choon Logistics Ltd,"21 Ayer Merbau, Jurong Island",t,2026-07-24 15:15:51.944859+00,,,
POH_002,POH,Poh Tiong Choon Logistics Ltd,48 Pandan Road L1,t,2026-07-24 15:15:51.944859+00,,,
POH_003,POH,Poh Tiong Choon Logistics Ltd,48 Pandan Road L3,t,2026-07-24 15:15:51.944859+00,,,
POH_004,POH,Poh Tiong Choon Logistics Ltd,48 Pandan Road L6,t,2026-07-24 15:15:51.944859+00,,,
PSA_001,PSA,PSA Port Ecosystem (Sea) Pte Ltd,24 Penjuru Road. #05-06,t,2026-07-24 15:15:51.944859+00,,,
QUA_001,QUA,Qualicoat Pte Ltd,5 Gul Drive,t,2026-07-24 15:15:51.944859+00,,,
RAD_002,RAD,Radha Exports Pte Ltd,118 Pioneer Road L4,t,2026-07-24 15:15:51.944859+00,,,
RAD_004,RAD,Radha Exports Pte Ltd,"6 Fishery Port, L5M",t,2026-07-24 15:15:51.944859+00,,,
REM_001,REM,REMEX Minerals Singapore Pte Ltd,98 Tuas South Ave 3 (Inside NEA building),t,2026-07-24 15:15:51.944859+00,,,
RJH_001,RJH,RJ Hydralics,83 Tagore Lane,t,2026-07-24 15:15:51.944859+00,,,
SAV_001,SAV,Savills Property Management Pte Ltd (Blue Hub),10 Sunview Road L109,t,2026-07-24 15:15:51.944859+00,,,
SAV_002,SAV,Savills Property Management Pte Ltd (Blue Hub),10 Sunview Road L309,t,2026-07-24 15:15:51.944859+00,,,
SAV_003,SAV,Savills Property Management Pte Ltd (Blue Hub),10 Sunview Road L407,t,2026-07-24 15:15:51.944859+00,,,
SAV_004,SAV,Savills Property Management Pte Ltd (Blue Hub),10 Sunview Road L609,t,2026-07-24 15:15:51.944859+00,,,
SAVI_001,SAVI,Savills Property Management Pte Ltd (Green Hub),11 Pioneer Turn L2,t,2026-07-24 15:15:51.944859+00,,,
SAVI_002,SAVI,Savills Property Management Pte Ltd (Green Hub),11 Pioneer Turn L401,t,2026-07-24 15:15:51.944859+00,,,
SAVI_003,SAVI,Savills Property Management Pte Ltd (Green Hub),11 Pioneer Turn L407,t,2026-07-24 15:15:51.944859+00,,,
SAVI_004,SAVI,Savills Property Management Pte Ltd (Green Hub),11 Pioneer Turn L601,t,2026-07-24 15:15:51.944859+00,,,
SAVI_005,SAVI,Savills Property Management Pte Ltd (Green Hub),11 Pioneer Turn L8,t,2026-07-24 15:15:51.944859+00,,,
SEA_001,SEA,Seatrium Pte Ltd,60 Admiralty Road West,t,2026-07-24 15:15:51.944859+00,,,
SHI_001,SHI,Shin Ya O Ya Pte Ltd,6 Chin Bee Ave L5,t,2026-07-24 15:15:51.944859+00,,,
SIE_001,SIE,Siew Kong Glass Makers Pte Ltd,43 Joo Koon Circle,t,2026-07-24 15:15:51.944859+00,,,
SIN_001,SIN,Sin Hong Hardware Pte Ltd,3 Kian Teck Crescent,t,2026-07-24 15:15:51.944859+00,,,
SIND_001,SIND,Sindac Cleaning Services Pte Ltd,"1H Pine Grove, Pine Grove Condo",t,2026-07-24 15:15:51.944859+00,,,
SIND_002,SIND,Sindac Cleaning Services Pte Ltd,"20 Woodlands Crescent, Northoaks Condo",t,2026-07-24 15:15:51.944859+00,,,
SINH_001,SINH,Sin Hong Poh Metal Trading,59 Tampines Industrial Ave,t,2026-07-24 15:15:51.944859+00,,,
SLS_001,SLS,SLS,"No. 9 Tuas South Avenue 19, #01-99",t,2026-07-24 15:15:51.944859+00,,,
LIR_001,LIR,Lirich,23 Gul Drive,t,2026-07-24 15:15:51.944859+00,,,
RAD_003,RAD,Radha Exports Pte Ltd,118 Pioneer Road L7,t,2026-07-24 15:15:51.944859+00,Eugene / Poornima,81614185 / 81572014,
RAD_001,RAD,Radha Exports Pte Ltd,118 Pioneer Road L1,t,2026-07-24 15:15:51.944859+00,,82982405 / 9185 8431,
SHI_002,SHI,Shin Ya O Ya Pte Ltd,6 Chin Bee Ave L9,t,2026-07-24 15:15:51.944859+00,,8919 2975,
ECO_001,ECO,Ecozeal,,t,2026-07-30 00:35:38.053219+00,,,
ACR_001,ACR,Acreation Group Pte Ltd,19 Jalan Mesin,t,2026-07-24 15:15:51.944859+00,,,
ACR_002,ACR,Acreation Group Pte Ltd,9 Raffles Boulevard,t,2026-07-24 15:15:51.944859+00,,,
ACR_003,ACR,Acreation Group Pte Ltd,Engku Aman Road,t,2026-07-24 15:15:51.944859+00,,,
ACR_004,ACR,Acreation Group Pte Ltd,"Orchard Gateway, 277 Orchard Road",t,2026-07-24 15:15:51.944859+00,,,
ADV_001,ADV,Advanced Substrate Technologies Pte Ltd,47A Jalan Buroh,t,2026-07-24 15:15:51.944859+00,,,
ALL_001,ALL,Allalloy Dynaweld Pte Ltd,10 Tuas Link 1,t,2026-07-24 15:15:51.944859+00,,,
ALLI_001,ALLI,Allied Container Services Pte Ltd,10 Tuas Ave 6,t,2026-07-24 15:15:51.944859+00,,,
ALLI_002,ALLI,Allied Container Services Pte Ltd,15 Pioneer Crescent,t,2026-07-24 15:15:51.944859+00,,,
ALLI_003,ALLI,Allied Container Services Pte Ltd,25 Penjuru Lane Yard 3,t,2026-07-24 15:15:51.944859+00,,,
APE_001,APE,Apex Sealing Technologies Pte Ltd,19 Tuas South Street 5,t,2026-07-24 15:15:51.944859+00,,,
APE_002,APE,Apex Sealing Technologies Pte Ltd,Tuas Basin Lane,t,2026-07-24 15:15:51.944859+00,,,
ARC_001,ARC,Archibiz,"Blk A 30 Kranji Loop, #06-05 Timmac @ Kranji",t,2026-07-24 15:15:51.944859+00,,,
ART_001,ART,Artdecor Design Studio Pte Ltd,"2 Defu South Street 1, #05-03, JTC Industrial City",t,2026-07-24 15:15:51.944859+00,,,
ASL_001,ASL,ASL Proworld Solution Pte Ltd,8 Pandan Crescent,t,2026-07-24 15:15:51.944859+00,,,
AST_001,AST,Astore Pte Ltd,43 Keppel Road,t,2026-07-24 15:15:51.944859+00,,,
ENGI_016,ENGI,Engie Services Singapore Pte Ltd,1 Cove Grove,t,2026-07-24 15:15:51.944859+00,,,
SLS_002,SLS,SLS,VSMC site office Gate 3,t,2026-07-24 15:15:51.944859+00,,,
SNI_001,SNI,Snip Avenue Holdings,"9 Changi South Street 3, loading bay",t,2026-07-24 15:15:51.944859+00,,,
SPR_001,SPR,Springlife Maintenance Service Pte Ltd,"21 Ang Mo Kio Ave 9, Nuovo Condo",t,2026-07-24 15:15:51.944859+00,,,
SPR_002,SPR,Springlife Maintenance Service Pte Ltd,"464 Corporation Road, Parc Vista Condo",t,2026-07-24 15:15:51.944859+00,,,
SPR_003,SPR,Springlife Maintenance Service Pte Ltd,"88 Flora Road, Edelweiss Park Condo",t,2026-07-24 15:15:51.944859+00,,,
STA_001,STA,Stamford Tyres,19 Lok Yang Way,t,2026-07-24 15:15:51.944859+00,,,
STS_001,STS,STSM,15 Pasir Ris Street 21,t,2026-07-24 15:15:51.944859+00,,,
STS_002,STS,STSM,47 Hougang Avenue 1,t,2026-07-24 15:15:51.944859+00,,,
STS_003,STS,STSM,Blk 15 Toa Payoh Lorong 7,t,2026-07-24 15:15:51.944859+00,,,
TONG_005,TONG,Tong Hock Pte Ltd,"2 Peach Garden, Peach Garden condo",t,2026-07-24 15:15:51.944859+00,,,
TONG_007,TONG,Tong Hock Pte Ltd,"58 Woodlands Drive 16, La Casa Condo",t,2026-07-24 15:15:51.944859+00,,,
TONG_008,TONG,Tong Hock Pte Ltd,7 Tractor Road,t,2026-07-24 15:15:51.944859+00,,,
TONG_009,TONG,Tong Hock Pte Ltd,1 Woodlands Terrace,t,2026-07-24 15:15:51.944859+00,,,
TOP_001,TOP,Top Star Builder Pte Ltd,50 Playfair road,t,2026-07-24 15:15:51.944859+00,,,
TRA_001,TRA,Tracebuild,"1 Woodlands Street 31, Fu Chun Community Club",t,2026-07-24 15:15:51.944859+00,,,
TRE_001,TRE,T3 Reources Pte Ltd,16 Gul Street 3,t,2026-07-24 15:15:51.944859+00,,,
TST_001,TST,TSTL,19 Tuas Street,t,2026-07-24 15:15:51.944859+00,,,
URB_001,URB,Urban Group Pte Ltd,200 Netheravon Road,t,2026-07-24 15:15:51.944859+00,,,
WAH_001,WAH,Wah & Hua Pte Ltd,"17 Kallang Junction, #01-01, Singapore 339274",t,2026-07-24 15:15:51.944859+00,,,
WAH_002,WAH,Wah & Hua Pte Ltd,19 Loyang Way,t,2026-07-24 15:15:51.944859+00,,,
WAH_003,WAH,Wah & Hua Pte Ltd,22 Woodlands Link,t,2026-07-24 15:15:51.944859+00,,,
WAH_004,WAH,Wah & Hua Pte Ltd,221 Kallang Bahru Lion Building,t,2026-07-24 15:15:51.944859+00,,,
WAH_005,WAH,Wah & Hua Pte Ltd,30 Kerong Lane,t,2026-07-24 15:15:51.944859+00,,,
WAH_006,WAH,Wah & Hua Pte Ltd,76 Sungei Tengah Road,t,2026-07-24 15:15:51.944859+00,,,
WAH_007,WAH,Wah & Hua Pte Ltd,980 Upper Changi Road North Singapore 507708(Prison HQ),t,2026-07-24 15:15:51.944859+00,,,
WEB_001,WEB,WeBuild,120 Hillview Ave,t,2026-07-24 15:15:51.944859+00,,,
WIK_001,WIK,WIKA Instrumentation Pte Ltd,13 Kian Teck Crescent,t,2026-07-24 15:15:51.944859+00,,,
WIL_001,WIL,Wilkie Development Pte Ltd,12 New Industrial Road,t,2026-07-24 15:15:51.944859+00,,,
WOR_001,WOR,World of Wood Pte Ltd,"35 Tannery Road, #01-07, Ruby Industrial Complex",t,2026-07-24 15:15:51.944859+00,,,
WRA_001,WRA,W''Ray Construction Pte Ltd,"22 Scotts Road, Goodwood Park Hotel",t,2026-07-24 15:15:51.944859+00,,,
WRA_002,WRA,W''Ray Construction Pte Ltd,25 Tuas Ave 4,t,2026-07-24 15:15:51.944859+00,,,
STE_001,STE,Benoi Yard,ST Engineering Marine - Benoi Yard,t,2026-07-31 03:02:32.106388+00,,,
STE_002,STE,Gul Yard,ST Engineering Marine - Gul Yard,t,2026-07-31 03:02:32.106388+00,,,
STE_003,STE,CDPL Tuas,CDPL Tuas,t,2026-07-31 03:02:32.106388+00,,,
STE_004,STE,Tuas Nexus,61A Tuas Nexus Drive (IWMF Package 1),t,2026-07-31 03:02:32.106388+00,,,
GWC_001,GWC,GWC,"449 Clementi Ave 3, #01-259",t,2026-07-24 15:15:51.944859+00,,,
TONG_003,TONG,Tong Hock Pte Ltd,14 Tractor Road,t,2026-07-24 15:15:51.944859+00,,88206384,
STX_001,STX,ST Engineering,6 Tuas South Street 15,t,2026-07-24 15:15:51.944859+00,,,
STX_002,STX,ST Engineering,Benoi,t,2026-07-24 15:15:51.944859+00,,,
STX_003,STX,ST Engineering,Gul,t,2026-07-24 15:15:51.944859+00,,,
STX_004,STX,ST Engineering,61a Tuas Nexus Drive,t,2026-07-24 15:15:51.944859+00,,,
STS_004,STS,STSM,"Blk 61 Jurong West Street 65, Jurong West Secondary School (JWSS)",t,2026-07-24 15:15:51.944859+00,,,
STS_005,STS,STSM,Blk 64 Lorong 5 Toa Payoh - Lot no. 24,t,2026-07-24 15:15:51.944859+00,,,
STS_006,STS,STSM,"Blk 698 West Coast Road, Commonwealth Secondary School (CWSS)",t,2026-07-24 15:15:51.944859+00,,,
SUM_001,SUM,Sumber Indah Pte Ltd,1 Tuas View Close,t,2026-07-24 15:15:51.944859+00,,,
SUN_001,SUN,Sun City Maintenance Pte Ltd,"300 Mandai Road, Mandai Crematorium and Columbarium",t,2026-07-24 15:15:51.944859+00,,,
SUN_002,SUN,Sun City Maintenance Pte Ltd,55 Changi South Ave 1,t,2026-07-24 15:15:51.944859+00,,,
SUN_003,SUN,Sun City Maintenance Pte Ltd,"SUTD Building 2, 8 Somapah Road, loading bay",t,2026-07-24 15:15:51.944859+00,,,
SUN_004,SUN,Sun City Maintenance Pte Ltd,"SUTD Building 3, 8 somapah Road , with access via the Changi Street carpark entrance",t,2026-07-24 15:15:51.944859+00,,,
SUN_005,SUN,Sun City Maintenance Pte Ltd,"Yishun Columbarium, 569 Yishun Ring Road",t,2026-07-24 15:15:51.944859+00,,,
SYS_001,SYS,Sys-Mac Automation Engineering Pte Ltd,"2 Woodlands Sector 1, #05-18",t,2026-07-24 15:15:51.944859+00,,,
SYST_001,SYST,System Foundation Pte Ltd,21A Tuas South Place,t,2026-07-24 15:15:51.944859+00,,,
SYST_002,SYST,System Foundation Pte Ltd,45 Tuas View Place,t,2026-07-24 15:15:51.944859+00,,,
TAI_001,TAI,Tai Lee Tong,"No 11, Lorong 21A Geylang",t,2026-07-24 15:15:51.944859+00,,,
TEC_001,TEC,Technicair Singapore Services Pte Ltd,16 Jalan Tan Tock Seng,t,2026-07-24 15:15:51.944859+00,,,
TECH_001,TECH,Technigroup Far East Pte Ltd,Outram Road,t,2026-07-24 15:15:51.944859+00,,,
TECK_001,TECK,Teck Sang Pte Ltd,30A Quality Road,t,2026-07-24 15:15:51.944859+00,,,
TOH_001,TOH,Toh Ban Seng,Seletar Westlink LP 103,t,2026-07-24 15:15:51.944859+00,,,
TON_001,TON,Tong Carriage (S) Pte Ltd,30 Toh Guan Road,t,2026-07-24 15:15:51.944859+00,,,
TONG_001,TONG,Tong Hock Pte Ltd,10 Pandan Crescent,t,2026-07-24 15:15:51.944859+00,,,
TONG_002,TONG,Tong Hock Pte Ltd,1206A East Coast Park,t,2026-07-24 15:15:51.944859+00,,,
TONG_004,TONG,Tong Hock Pte Ltd,19 Tuas Street,t,2026-07-24 15:15:51.944859+00,,,
TONG_006,TONG,Tong Hock Pte Ltd,2 Pioneer Sector 1,t,2026-07-24 15:15:51.944859+00,,,
